full_knn,full_svm,full_rf,full_tree,boruta_knn,boruta_svm,boruta_rf,boruta_tree
0.44549763033175355,0.5829383886255924,0.6255924170616114,0.6635071090047393,0.4976303317535545,0.6161137440758294,0.6398104265402843,0.6635071090047393
0.41706161137440756,0.5781990521327014,0.6161137440758294,0.6066350710900474,0.4312796208530806,0.5781990521327014,0.6208530805687204,0.6208530805687204
0.4075829383886256,0.6350710900473934,0.5781990521327014,0.6208530805687204,0.4265402843601896,0.5687203791469194,0.6113744075829384,0.6161137440758294
0.44549763033175355,0.6066350710900474,0.6018957345971564,0.6350710900473934,0.4597156398104265,0.5876777251184834,0.5971563981042654,0.6350710900473934
0.38571428571428573,0.5666666666666667,0.5761904761904761,0.6047619047619047,0.43333333333333335,0.580952380952381,0.5666666666666667,0.6047619047619047
0.3523809523809524,0.5666666666666667,0.5619047619047619,0.6238095238095238,0.4523809523809524,0.5666666666666667,0.5952380952380952,0.6047619047619047
0.37142857142857144,0.6,0.6238095238095238,0.6619047619047619,0.47619047619047616,0.6,0.6428571428571429,0.6619047619047619
0.40476190476190477,0.580952380952381,0.580952380952381,0.6190476190476191,0.47619047619047616,0.580952380952381,0.5714285714285714,0.6142857142857143
0.4142857142857143,0.6523809523809524,0.6238095238095238,0.638095238095238,0.44761904761904764,0.6,0.6,0.6428571428571429
0.4238095238095238,0.6,0.5904761904761905,0.6285714285714286,0.5047619047619047,0.5904761904761905,0.6190476190476191,0.6285714285714286
